Probability of Dying from Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","&nbsp;&nbsp;&nbsp;Age&nbsp;&nbsp;","Probability of Dying from Cancer (%) by Age","Risk"
"Lung and Bronchus","Age 5","Age <br/>80",3.432
"Lung and Bronchus","Age 5","Age <br/>85",4.288
"Lung and Bronchus","Age 5","Age <br/>90",4.865
"Lung and Bronchus","Age 5","Age <br/>95",5.115
"Lung and Bronchus","Age 5","Age <br/>95+",5.206
"Lung and Bronchus","Age 10","Age <br/>5",
"Lung and Bronchus","Age 10","Age <br/>10",
"Lung and Bronchus","Age 10","Age <br/>15",0.000
"Lung and Bronchus","Age 10","Age <br/>20",0.000
"Lung and Bronchus","Age 10","Age <br/>25",0.001
"Lung and Bronchus","Age 10","Age <br/>30",0.002
"Lung and Bronchus","Age 10","Age <br/>35",0.004
"Lung and Bronchus","Age 10","Age <br/>40",0.012
"Lung and Bronchus","Age 10","Age <br/>45",0.034
"Lung and Bronchus","Age 10","Age <br/>50",0.099
"Lung and Bronchus","Age 10","Age <br/>55",0.254
"Lung and Bronchus","Age 10","Age <br/>60",0.540
"Lung and Bronchus","Age 10","Age <br/>65",0.973
"Lung and Bronchus","Age 10","Age <br/>70",1.617
"Lung and Bronchus","Age 10","Age <br/>75",2.483
"Lung and Bronchus","Age 10","Age <br/>80",3.435
"Lung and Bronchus","Age 10","Age <br/>85",4.291
"Lung and Bronchus","Age 10","Age <br/>90",4.868
"Lung and Bronchus","Age 10","Age <br/>95",5.119
"Lung and Bronchus","Age 10","Age <br/>95+",5.209
"Lung and Bronchus","Age 15","Age <br/>5",
"Lung and Bronchus","Age 15","Age <br/>10",
"Lung and Bronchus","Age 15","Age <br/>15",
"Lung and Bronchus","Age 15","Age <br/>20",0.000
"Lung and Bronchus","Age 15","Age <br/>25",0.001
"Lung and Bronchus","Age 15","Age <br/>30",0.002
"Lung and Bronchus","Age 15","Age <br/>35",0.004
"Lung and Bronchus","Age 15","Age <br/>40",0.011
"Lung and Bronchus","Age 15","Age <br/>45",0.034
"Lung and Bronchus","Age 15","Age <br/>50",0.099
"Lung and Bronchus","Age 15","Age <br/>55",0.254
"Lung and Bronchus","Age 15","Age <br/>60",0.540
"Lung and Bronchus","Age 15","Age <br/>65",0.974
"Lung and Bronchus","Age 15","Age <br/>70",1.618
"Lung and Bronchus","Age 15","Age <br/>75",2.485
"Lung and Bronchus","Age 15","Age <br/>80",3.438
"Lung and Bronchus","Age 15","Age <br/>85",4.295
"Lung and Bronchus","Age 15","Age <br/>90",4.873
"Lung and Bronchus","Age 15","Age <br/>95",5.123
"Lung and Bronchus","Age 15","Age <br/>95+",5.214
"Lung and Bronchus","Age 20","Age <br/>5",
"Lung and Bronchus","Age 20","Age <br/>10",
"Lung and Bronchus","Age 20","Age <br/>15",
"Lung and Bronchus","Age 20","Age <br/>20",
"Lung and Bronchus","Age 20","Age <br/>25",0.000
"Lung and Bronchus","Age 20","Age <br/>30",0.001
"Lung and Bronchus","Age 20","Age <br/>35",0.004
"Lung and Bronchus","Age 20","Age <br/>40",0.011
"Lung and Bronchus","Age 20","Age <br/>45",0.034
"Lung and Bronchus","Age 20","Age <br/>50",0.099
"Lung and Bronchus","Age 20","Age <br/>55",0.254
"Lung and Bronchus","Age 20","Age <br/>60",0.541
"Lung and Bronchus","Age 20","Age <br/>65",0.976
"Lung and Bronchus","Age 20","Age <br/>70",1.622
"Lung and Bronchus","Age 20","Age <br/>75",2.490
"Lung and Bronchus","Age 20","Age <br/>80",3.446
"Lung and Bronchus","Age 20","Age <br/>85",4.305
"Lung and Bronchus","Age 20","Age <br/>90",4.884
"Lung and Bronchus","Age 20","Age <br/>95",5.135
"Lung and Bronchus","Age 20","Age <br/>95+",5.226
"Lung and Bronchus","Age 25","Age <br/>5",
"Lung and Bronchus","Age 25","Age <br/>10",
"Lung and Bronchus","Age 25","Age <br/>15",
"Lung and Bronchus","Age 25","Age <br/>20",
"Lung and Bronchus","Age 25","Age <br/>25",
"Lung and Bronchus","Age 25","Age <br/>30",0.001
"Lung and Bronchus","Age 25","Age <br/>35",0.003
"Lung and Bronchus","Age 25","Age <br/>40",0.011
"Lung and Bronchus","Age 25","Age <br/>45",0.034
"Lung and Bronchus","Age 25","Age <br/>50",0.099
"Lung and Bronchus","Age 25","Age <br/>55",0.255
"Lung and Bronchus","Age 25","Age <br/>60",0.543
"Lung and Bronchus","Age 25","Age <br/>65",0.980
"Lung and Bronchus","Age 25","Age <br/>70",1.628
"Lung and Bronchus","Age 25","Age <br/>75",2.500
"Lung and Bronchus","Age 25","Age <br/>80",3.460
"Lung and Bronchus","Age 25","Age <br/>85",4.322
"Lung and Bronchus","Age 25","Age <br/>90",4.904
"Lung and Bronchus","Age 25","Age <br/>95",5.156
"Lung and Bronchus","Age 25","Age <br/>95+",5.247
"Lung and Bronchus","Age 30","Age <br/>5",
"Lung and Bronchus","Age 30","Age <br/>10",
"Lung and Bronchus","Age 30","Age <br/>15",
"Lung and Bronchus","Age 30","Age <br/>20",
"Lung and Bronchus","Age 30","Age <br/>25",
"Lung and Bronchus","Age 30","Age <br/>30",
"Lung and Bronchus","Age 30","Age <br/>35",0.003
"Lung and Bronchus","Age 30","Age <br/>40",0.010
"Lung and Bronchus","Age 30","Age <br/>45",0.033
"Lung and Bronchus","Age 30","Age <br/>50",0.098
"Lung and Bronchus","Age 30","Age <br/>55",0.255
"Lung and Bronchus","Age 30","Age <br/>60",0.545
"Lung and Bronchus","Age 30","Age <br/>65",0.984
"Lung and Bronchus","Age 30","Age <br/>70",1.635
"Lung and Bronchus","Age 30","Age <br/>75",2.512
"Lung and Bronchus","Age 30","Age <br/>80",3.476
"Lung and Bronchus","Age 30","Age <br/>85",4.343
"Lung and Bronchus","Age 30","Age <br/>90",4.928
"Lung and Bronchus","Age 30","Age <br/>95",5.181
"Lung and Bronchus","Age 30","Age <br/>95+",5.273
"Lung and Bronchus","Age 35","Age <br/>5",
"Lung and Bronchus","Age 35","Age <br/>10",
"Lung and Bronchus","Age 35","Age <br/>15",
"Lung and Bronchus","Age 35","Age <br/>20",
"Lung and Bronchus","Age 35","Age <br/>25",
"Lung and Bronchus","Age 35","Age <br/>30",
"Lung and Bronchus","Age 35","Age <br/>35",
"Lung and Bronchus","Age 35","Age <br/>40",0.008
"Lung and Bronchus","Age 35","Age <br/>45",0.031
"Lung and Bronchus","Age 35","Age <br/>50",0.096
"Lung and Bronchus","Age 35","Age <br/>55",0.255
"Lung and Bronchus","Age 35","Age <br/>60",0.546
"Lung and Bronchus","Age 35","Age <br/>65",0.987
"Lung and Bronchus","Age 35","Age <br/>70",1.643
"Lung and Bronchus","Age 35","Age <br/>75",2.525
"Lung and Bronchus","Age 35","Age <br/>80",3.495
"Lung and Bronchus","Age 35","Age <br/>85",4.367
"Lung and Bronchus","Age 35","Age <br/>90",4.955
"Lung and Bronchus","Age 35","Age <br/>95",5.210
"Lung and Bronchus","Age 35","Age <br/>95+",5.303
"Lung and Bronchus","Age 40","Age <br/>5",
"Lung and Bronchus","Age 40","Age <br/>10",
"Lung and Bronchus","Age 40","Age <br/>15",
"Lung and Bronchus","Age 40","Age <br/>20",
"Lung and Bronchus","Age 40","Age <br/>25",
"Lung and Bronchus","Age 40","Age <br/>30",
"Lung and Bronchus","Age 40","Age <br/>35",
"Lung and Bronchus","Age 40","Age <br/>40",
"Lung and Bronchus","Age 40","Age <br/>45",0.023
"Lung and Bronchus","Age 40","Age <br/>50",0.089
"Lung and Bronchus","Age 40","Age <br/>55",0.249
"Lung and Bronchus","Age 40","Age <br/>60",0.542
"Lung and Bronchus","Age 40","Age <br/>65",0.987
"Lung and Bronchus","Age 40","Age <br/>70",1.648
"Lung and Bronchus","Age 40","Age <br/>75",2.537
"Lung and Bronchus","Age 40","Age <br/>80",3.514
"Lung and Bronchus","Age 40","Age <br/>85",4.393
"Lung and Bronchus","Age 40","Age <br/>90",4.985
"Lung and Bronchus","Age 40","Age <br/>95",5.242
"Lung and Bronchus","Age 40","Age <br/>95+",5.335
"Lung and Bronchus","Age 45","Age <br/>5",
"Lung and Bronchus","Age 45","Age <br/>10",
"Lung and Bronchus","Age 45","Age <br/>15",
"Lung and Bronchus","Age 45","Age <br/>20",
"Lung and Bronchus","Age 45","Age <br/>25",
"Lung and Bronchus","Age 45","Age <br/>30",
"Lung and Bronchus","Age 45","Age <br/>35",
"Lung and Bronchus","Age 45","Age <br/>40",
"Lung and Bronchus","Age 45","Age <br/>45",
"Lung and Bronchus","Age 45","Age <br/>50",0.067
"Lung and Bronchus","Age 45","Age <br/>55",0.228
"Lung and Bronchus","Age 45","Age <br/>60",0.524
"Lung and Bronchus","Age 45","Age <br/>65",0.974
"Lung and Bronchus","Age 45","Age <br/>70",1.641
"Lung and Bronchus","Age 45","Age <br/>75",2.540
"Lung and Bronchus","Age 45","Age <br/>80",3.527
"Lung and Bronchus","Age 45","Age <br/>85",4.416
"Lung and Bronchus","Age 45","Age <br/>90",5.014
"Lung and Bronchus","Age 45","Age <br/>95",5.274
"Lung and Bronchus","Age 45","Age <br/>95+",5.368
"Lung and Bronchus","Age 50","Age <br/>5",
"Lung and Bronchus","Age 50","Age <br/>10",
"Lung and Bronchus","Age 50","Age <br/>15",
"Lung and Bronchus","Age 50","Age <br/>20",
"Lung and Bronchus","Age 50","Age <br/>25",
"Lung and Bronchus","Age 50","Age <br/>30",
"Lung and Bronchus","Age 50","Age <br/>35",
"Lung and Bronchus","Age 50","Age <br/>40",
"Lung and Bronchus","Age 50","Age <br/>45",
"Lung and Bronchus","Age 50","Age <br/>50",
"Lung and Bronchus","Age 50","Age <br/>55",0.164
"Lung and Bronchus","Age 50","Age <br/>60",0.465
"Lung and Bronchus","Age 50","Age <br/>65",0.922
"Lung and Bronchus","Age 50","Age <br/>70",1.600
"Lung and Bronchus","Age 50","Age <br/>75",2.513
"Lung and Bronchus","Age 50","Age <br/>80",3.517
"Lung and Bronchus","Age 50","Age <br/>85",4.419
"Lung and Bronchus","Age 50","Age <br/>90",5.028
"Lung and Bronchus","Age 50","Age <br/>95",5.292
"Lung and Bronchus","Age 50","Age <br/>95+",5.387
"Lung and Bronchus","Age 55","Age <br/>5",
"Lung and Bronchus","Age 55","Age <br/>10",
"Lung and Bronchus","Age 55","Age <br/>15",
"Lung and Bronchus","Age 55","Age <br/>20",
"Lung and Bronchus","Age 55","Age <br/>25",
"Lung and Bronchus","Age 55","Age <br/>30",
"Lung and Bronchus","Age 55","Age <br/>35",
"Lung and Bronchus","Age 55","Age <br/>40",
"Lung and Bronchus","Age 55","Age <br/>45",
"Lung and Bronchus","Age 55","Age <br/>50",
"Lung and Bronchus","Age 55","Age <br/>55",
"Lung and Bronchus","Age 55","Age <br/>60",0.309
"Lung and Bronchus","Age 55","Age <br/>65",0.778
"Lung and Bronchus","Age 55","Age <br/>70",1.473
"Lung and Bronchus","Age 55","Age <br/>75",2.409
"Lung and Bronchus","Age 55","Age <br/>80",3.438
"Lung and Bronchus","Age 55","Age <br/>85",4.363
"Lung and Bronchus","Age 55","Age <br/>90",4.987
"Lung and Bronchus","Age 55","Age <br/>95",5.257
"Lung and Bronchus","Age 55","Age <br/>95+",5.355
"Lung and Bronchus","Age 60","Age <br/>5",
"Lung and Bronchus","Age 60","Age <br/>10",
"Lung and Bronchus","Age 60","Age <br/>15",
"Lung and Bronchus","Age 60","Age <br/>20",
"Lung and Bronchus","Age 60","Age <br/>25",
"Lung and Bronchus","Age 60","Age <br/>30",
"Lung and Bronchus","Age 60","Age <br/>35",
"Lung and Bronchus","Age 60","Age <br/>40",
"Lung and Bronchus","Age 60","Age <br/>45",
"Lung and Bronchus","Age 60","Age <br/>50",
"Lung and Bronchus","Age 60","Age <br/>55",
"Lung and Bronchus","Age 60","Age <br/>60",
"Lung and Bronchus","Age 60","Age <br/>65",0.486
"Lung and Bronchus","Age 60","Age <br/>70",1.208
"Lung and Bronchus","Age 60","Age <br/>75",2.179
"Lung and Bronchus","Age 60","Age <br/>80",3.246
"Lung and Bronchus","Age 60","Age <br/>85",4.207
"Lung and Bronchus","Age 60","Age <br/>90",4.854
"Lung and Bronchus","Age 60","Age <br/>95",5.134
"Lung and Bronchus","Age 60","Age <br/>95+",5.236
"Lung and Bronchus","Age 65","Age <br/>5",
"Lung and Bronchus","Age 65","Age <br/>10",
"Lung and Bronchus","Age 65","Age <br/>15",
"Lung and Bronchus","Age 65","Age <br/>20",
"Lung and Bronchus","Age 65","Age <br/>25",
"Lung and Bronchus","Age 65","Age <br/>30",
"Lung and Bronchus","Age 65","Age <br/>35",
"Lung and Bronchus","Age 65","Age <br/>40",
"Lung and Bronchus","Age 65","Age <br/>45",
"Lung and Bronchus","Age 65","Age <br/>50",
"Lung and Bronchus","Age 65","Age <br/>55",
"Lung and Bronchus","Age 65","Age <br/>60",
"Lung and Bronchus","Age 65","Age <br/>65",
"Lung and Bronchus","Age 65","Age <br/>70",0.760
"Lung and Bronchus","Age 65","Age <br/>75",1.784
"Lung and Bronchus","Age 65","Age <br/>80",2.909
"Lung and Bronchus","Age 65","Age <br/>85",3.920
"Lung and Bronchus","Age 65","Age <br/>90",4.603
"Lung and Bronchus","Age 65","Age <br/>95",4.898
"Lung and Bronchus","Age 65","Age <br/>95+",5.005
"Lung and Bronchus","Age 70","Age <br/>5",
"Lung and Bronchus","Age 70","Age <br/>10",
"Lung and Bronchus","Age 70","Age <br/>15",
"Lung and Bronchus","Age 70","Age <br/>20",
"Lung and Bronchus","Age 70","Age <br/>25",
"Lung and Bronchus","Age 70","Age <br/>30",
"Lung and Bronchus","Age 70","Age <br/>35",
"Lung and Bronchus","Age 70","Age <br/>40",
"Lung and Bronchus","Age 70","Age <br/>45",
"Lung and Bronchus","Age 70","Age <br/>50",
"Lung and Bronchus","Age 70","Age <br/>55",
"Lung and Bronchus","Age 70","Age <br/>60",
"Lung and Bronchus","Age 70","Age <br/>65",
"Lung and Bronchus","Age 70","Age <br/>70",
"Lung and Bronchus","Age 70","Age <br/>75",1.104
"Lung and Bronchus","Age 70","Age <br/>80",2.317
"Lung and Bronchus","Age 70","Age <br/>85",3.408
"Lung and Bronchus","Age 70","Age <br/>90",4.144
"Lung and Bronchus","Age 70","Age <br/>95",4.462
"Lung and Bronchus","Age 70","Age <br/>95+",4.578
"Lung and Bronchus","Age 75","Age <br/>5",
"Lung and Bronchus","Age 75","Age <br/>10",
"Lung and Bronchus","Age 75","Age <br/>15",
"Lung and Bronchus","Age 75","Age <br/>20",
"Lung and Bronchus","Age 75","Age <br/>25",
"Lung and Bronchus","Age 75","Age <br/>30",
"Lung and Bronchus","Age 75","Age <br/>35",
"Lung and Bronchus","Age 75","Age <br/>40",
"Lung and Bronchus","Age 75","Age <br/>45",
"Lung and Bronchus","Age 75","Age <br/>50",
"Lung and Bronchus","Age 75","Age <br/>55",
"Lung and Bronchus","Age 75","Age <br/>60",
"Lung and Bronchus","Age 75","Age <br/>65",
"Lung and Bronchus","Age 75","Age <br/>70",
"Lung and Bronchus","Age 75","Age <br/>75",
"Lung and Bronchus","Age 75","Age <br/>80",1.363
"Lung and Bronchus","Age 75","Age <br/>85",2.588
"Lung and Bronchus","Age 75","Age <br/>90",3.414
"Lung and Bronchus","Age 75","Age <br/>95",3.773
"Lung and Bronchus","Age 75","Age <br/>95+",3.902
"Lung and Bronchus","Age 80","Age <br/>5",
"Lung and Bronchus","Age 80","Age <br/>10",
"Lung and Bronchus","Age 80","Age <br/>15",
"Lung and Bronchus","Age 80","Age <br/>20",
"Lung and Bronchus","Age 80","Age <br/>25",
"Lung and Bronchus","Age 80","Age <br/>30",
"Lung and Bronchus","Age 80","Age <br/>35",
"Lung and Bronchus","Age 80","Age <br/>40",
"Lung and Bronchus","Age 80","Age <br/>45",
"Lung and Bronchus","Age 80","Age <br/>50",
"Lung and Bronchus","Age 80","Age <br/>55",
"Lung and Bronchus","Age 80","Age <br/>60",
"Lung and Bronchus","Age 80","Age <br/>65",
"Lung and Bronchus","Age 80","Age <br/>70",
"Lung and Bronchus","Age 80","Age <br/>75",
"Lung and Bronchus","Age 80","Age <br/>80",
"Lung and Bronchus","Age 80","Age <br/>85",1.476
"Lung and Bronchus","Age 80","Age <br/>90",2.471
"Lung and Bronchus","Age 80","Age <br/>95",2.902
"Lung and Bronchus","Age 80","Age <br/>95+",3.059
"Lung and Bronchus","Age 85","Age <br/>5",
"Lung and Bronchus","Age 85","Age <br/>10",
"Lung and Bronchus","Age 85","Age <br/>15",
"Lung and Bronchus","Age 85","Age <br/>20",
"Lung and Bronchus","Age 85","Age <br/>25",
"Lung and Bronchus","Age 85","Age <br/>30",
"Lung and Bronchus","Age 85","Age <br/>35",
"Lung and Bronchus","Age 85","Age <br/>40",
"Lung and Bronchus","Age 85","Age <br/>45",
"Lung and Bronchus","Age 85","Age <br/>50",
"Lung and Bronchus","Age 85","Age <br/>55",
"Lung and Bronchus","Age 85","Age <br/>60",
"Lung and Bronchus","Age 85","Age <br/>65",
"Lung and Bronchus","Age 85","Age <br/>70",
"Lung and Bronchus","Age 85","Age <br/>75",
"Lung and Bronchus","Age 85","Age <br/>80",
"Lung and Bronchus","Age 85","Age <br/>85",
"Lung and Bronchus","Age 85","Age <br/>90",1.358
"Lung and Bronchus","Age 85","Age <br/>95",1.947
"Lung and Bronchus","Age 85","Age <br/>95+",2.160
"Lung and Bronchus","Age 90","Age <br/>5",
"Lung and Bronchus","Age 90","Age <br/>10",
"Lung and Bronchus","Age 90","Age <br/>15",
"Lung and Bronchus","Age 90","Age <br/>20",
"Lung and Bronchus","Age 90","Age <br/>25",
"Lung and Bronchus","Age 90","Age <br/>30",
"Lung and Bronchus","Age 90","Age <br/>35",
"Lung and Bronchus","Age 90","Age <br/>40",
"Lung and Bronchus","Age 90","Age <br/>45",
"Lung and Bronchus","Age 90","Age <br/>50",
"Lung and Bronchus","Age 90","Age <br/>55",
"Lung and Bronchus","Age 90","Age <br/>60",
"Lung and Bronchus","Age 90","Age <br/>65",
"Lung and Bronchus","Age 90","Age <br/>70",
"Lung and Bronchus","Age 90","Age <br/>75",
"Lung and Bronchus","Age 90","Age <br/>80",
"Lung and Bronchus","Age 90","Age <br/>85",
"Lung and Bronchus","Age 90","Age <br/>90",
"Lung and Bronchus","Age 90","Age <br/>95",0.997
"Lung and Bronchus","Age 90","Age <br/>95+",1.358
"Lung and Bronchus","Age 95","Age <br/>5",
"Lung and Bronchus","Age 95","Age <br/>10",
"Lung and Bronchus","Age 95","Age <br/>15",
"Lung and Bronchus","Age 95","Age <br/>20",
"Lung and Bronchus","Age 95","Age <br/>25",
"Lung and Bronchus","Age 95","Age <br/>30",
"Lung and Bronchus","Age 95","Age <br/>35",
"Lung and Bronchus","Age 95","Age <br/>40",
"Lung and Bronchus","Age 95","Age <br/>45",
"Lung and Bronchus","Age 95","Age <br/>50",
"Lung and Bronchus","Age 95","Age <br/>55",
"Lung and Bronchus","Age 95","Age <br/>60",
"Lung and Bronchus","Age 95","Age <br/>65",
"Lung and Bronchus","Age 95","Age <br/>70",
"Lung and Bronchus","Age 95","Age <br/>75",
"Lung and Bronchus","Age 95","Age <br/>80",
"Lung and Bronchus","Age 95","Age <br/>85",
"Lung and Bronchus","Age 95","Age <br/>90",
"Lung and Bronchus","Age 95","Age <br/>95",
"Lung and Bronchus","Age 95","Age <br/>95+",0.847


"Cancer sites include invasive cases only unless otherwise noted."

"Source: Underlying Mortality data are from the NCHS public use data file for the total US. \
Rates are calculated using DevCan Version 6.7, April 2018, National Cancer Institute (http://surveillance.cancer.gov/devcan/)."

