Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Lung and Bronchus","Age 80","Age <br/>95+",3.230
"Lung and Bronchus","Age 85","Age <br/>5",
"Lung and Bronchus","Age 85","Age <br/>10",
"Lung and Bronchus","Age 85","Age <br/>15",
"Lung and Bronchus","Age 85","Age <br/>20",
"Lung and Bronchus","Age 85","Age <br/>25",
"Lung and Bronchus","Age 85","Age <br/>30",
"Lung and Bronchus","Age 85","Age <br/>35",
"Lung and Bronchus","Age 85","Age <br/>40",
"Lung and Bronchus","Age 85","Age <br/>45",
"Lung and Bronchus","Age 85","Age <br/>50",
"Lung and Bronchus","Age 85","Age <br/>55",
"Lung and Bronchus","Age 85","Age <br/>60",
"Lung and Bronchus","Age 85","Age <br/>65",
"Lung and Bronchus","Age 85","Age <br/>70",
"Lung and Bronchus","Age 85","Age <br/>75",
"Lung and Bronchus","Age 85","Age <br/>80",
"Lung and Bronchus","Age 85","Age <br/>85",
"Lung and Bronchus","Age 85","Age <br/>90",1.377
"Lung and Bronchus","Age 85","Age <br/>95",1.918
"Lung and Bronchus","Age 85","Age <br/>95+",2.112
"Lung and Bronchus","Age 90","Age <br/>5",
"Lung and Bronchus","Age 90","Age <br/>10",
"Lung and Bronchus","Age 90","Age <br/>15",
"Lung and Bronchus","Age 90","Age <br/>20",
"Lung and Bronchus","Age 90","Age <br/>25",
"Lung and Bronchus","Age 90","Age <br/>30",
"Lung and Bronchus","Age 90","Age <br/>35",
"Lung and Bronchus","Age 90","Age <br/>40",
"Lung and Bronchus","Age 90","Age <br/>45",
"Lung and Bronchus","Age 90","Age <br/>50",
"Lung and Bronchus","Age 90","Age <br/>55",
"Lung and Bronchus","Age 90","Age <br/>60",
"Lung and Bronchus","Age 90","Age <br/>65",
"Lung and Bronchus","Age 90","Age <br/>70",
"Lung and Bronchus","Age 90","Age <br/>75",
"Lung and Bronchus","Age 90","Age <br/>80",
"Lung and Bronchus","Age 90","Age <br/>85",
"Lung and Bronchus","Age 90","Age <br/>90",
"Lung and Bronchus","Age 90","Age <br/>95",0.900
"Lung and Bronchus","Age 90","Age <br/>95+",1.223
"Lung and Bronchus","Age 95","Age <br/>5",
"Lung and Bronchus","Age 95","Age <br/>10",
"Lung and Bronchus","Age 95","Age <br/>15",
"Lung and Bronchus","Age 95","Age <br/>20",
"Lung and Bronchus","Age 95","Age <br/>25",
"Lung and Bronchus","Age 95","Age <br/>30",
"Lung and Bronchus","Age 95","Age <br/>35",
"Lung and Bronchus","Age 95","Age <br/>40",
"Lung and Bronchus","Age 95","Age <br/>45",
"Lung and Bronchus","Age 95","Age <br/>50",
"Lung and Bronchus","Age 95","Age <br/>55",
"Lung and Bronchus","Age 95","Age <br/>60",
"Lung and Bronchus","Age 95","Age <br/>65",
"Lung and Bronchus","Age 95","Age <br/>70",
"Lung and Bronchus","Age 95","Age <br/>75",
"Lung and Bronchus","Age 95","Age <br/>80",
"Lung and Bronchus","Age 95","Age <br/>85",
"Lung and Bronchus","Age 95","Age <br/>90",
"Lung and Bronchus","Age 95","Age <br/>95",
"Lung and Bronchus","Age 95","Age <br/>95+",0.739


"Cancer sites include invasive cases only unless otherwise noted."

"Source: Underlying Incidence data are from the SEER 18 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey and Georgia excluding ATL/RG).\
Rates are calculated using DevCan Version 6.7, April 2018, National Cancer Institute (http://surveillance.cancer.gov/devcan/)."

